MKB_CODE,RECOMMENDATIONS
H66.4,
H66.9,
H67.0,
H68.0,
H70.0,Консультация нейрохирурга$Консультация невролога$Консультация гнойного хирурга$Посев мокроты на флору с определением чувствительности$МРТ височных костей$КТ височных костей$Тимпанопункция
H70.1,Консультация нейрохирурга$Консультация невролога$Консультация гнойного хирурга$Посев мокроты на флору с определением чувствительности$МРТ височных костей$КТ височных костей$Тимпанопункция
H70.2,Консультация нейрохирурга$Консультация невролога$Консультация гнойного хирурга$Посев мокроты на флору с определением чувствительности$МРТ височных костей$КТ височных костей$Тимпанопункция
H73.0,
H73.1,Консультация сурдолога$Консультация отоларинголога$Консультация врача ЛФК$Измерение АД$$Термометрия$$Солевая ингаляция$Лекарственная ингаляция$Климатотерапия$Гелиовоздействие$Измерение артериального давления на периферических артериях$Измерение роста$Измерение массы тела$Измерение частоты дыхания$Измерение частоты сердцебиения$Исследование пульса$Термометрия общая
H74.0,Консультация терапевта$Консультация анестезиолога-реаниматолога$Реакция Вассермана (RW)$ПЦР диагностика одной инфекции$Общий анализ мочи$Коагулограмма$Аудиометрия$Определение антигена (HbsAg) вируса гепатита B (Hepatitis B virus) в крови$Электрокардиография (ЭКГ)$Определение проходимости слуховой трубы ребенку$Вызванные потенциалы (ВП)
H74.1,"Консультация отоларинголога$$$$$$Транспортировка пациента в клинику$Консультация психотерапевта$Консультация анестезиолога-реаниматолога$Холестерин общий$СОЭ$Ретикулоциты$Общий белок крови$Общий анализ мочи$Общий анализ крови$Натрий крови$Мочевина крови$Креатинин крови$Коагулограмма$Билирубин общий$Билирубин непрямой$Аудиометрия$АСТ крови$C реактивный белок крови$Измерение АД$$Термометрия$$Отоскопия$$Электрокардиография (ЭКГ)$Рентгеноскопия легких$Рентгенография мягких тканей$Рентгенография височных костей$Определение проходимости слуховой трубы ребенку$Калорическая проба$Исследование слуха с помощью камертона у детей$Вестибулометрия$Перевязка послеоперационная$Парацентез барабанной перепонки ребенку$Катетеризация мочевого пузыря у мужчин$Формирование барабанной полости$Подбор и настройка слухового аппарата$Очистительная клизма$Лекарственная ингаляция$Лазеротерапия$Внутривенная инъекция$Уход за назогастральным зондом, носовыми канюлями и катетером$Пособие при мочеиспускании тяжелобольного пациента$Уход за сосудистым катетером$Уход за волосами, ногтями, бритье тяжелобольного пациента$Назначение лечебно-оздоровительного режима при заболеваниях органа слуха$Уход за полостью рта тяжелобольного пациента в условиях реанимации и интенсивной терапии$Транспортировка тяжелобольного пациента внутри учреждения$Уход за кожей тяжелобольного пациента$Уход за промежностью и наружными половыми органами тяжелобольного пациента$Пособие при дефекации тяжелобольного пациента$Обучение самоуходу$Кормление тяжелобольного пациента через рот и/или назогастральный зонд$Приготовление и смена постельного белья тяжелобольному пациенту$Описание и интерпретация рентгенографических изображений$Осмотр органа слуха (отоскопия)$Перкуссия при патологии органа слуха$Осмотр верхних дыхательных путей с использованием дополнительных источников света, шпателя и зеркал$Пальпация при патологии органа слуха$Сбор анамнеза и жалоб при патологии органа слуха$Исследование пульса$Измерение артериального давления на периферических артериях$Термометрия общая$Измерение массы тела$Измерение роста$Измерение частоты дыхания$Визуальное исследование при патологии органа слуха$Измерение частоты сердцебиения$Подкожная инъекция$Внутримышечная инъекция$Взятие крови из периферической вены$Взятие крови из пальца"
H74.2,
H74.3,
H74.4,
H74.8,
H74.9,
H80.0,Акустическая импедансометрия$Отоэндоскопия$Камертональное исследование слуха$КТ височных костей
H80.1,Акустическая импедансометрия$Отоэндоскопия$Камертональное исследование слуха$КТ височных костей
H80.2,Акустическая импедансометрия$Отоэндоскопия$Камертональное исследование слуха$КТ височных костей
H80.8,Акустическая импедансометрия$Отоэндоскопия$Камертональное исследование слуха$КТ височных костей
H80.9,Акустическая импедансометрия$Отоэндоскопия$Камертональное исследование слуха$КТ височных костей
H81.0,Консультация эндокринолога$Консультация терапевта$Консультация невролога$Тимпанометрия$Сывороточное железо$Общий анализ крови$Глюкозо-толерантный тест$КТ головного мозга$КТ височных костей$Вызванные потенциалы (ВП)$Вестибулометрия
H81.1,Консультация эндокринолога$Консультация терапевта$Консультация психиатра$Консультация офтальмолога$Консультация невролога$Триглицериды$Общий анализ мочи$Общий анализ крови$Липопротеиды крови$АСТ крови$МРТ позвоночника$МРТ мягких тканей шеи$КТ головного мозга
H81.2,Консультация эндокринолога$Консультация терапевта$Консультация психиатра$Консультация офтальмолога$Консультация невролога$Триглицериды$Общий анализ мочи$Общий анализ крови$Липопротеиды крови$АСТ крови$МРТ позвоночника$МРТ мягких тканей шеи$КТ головного мозга
H81.3,Консультация эндокринолога$Консультация терапевта$Консультация психиатра$Консультация офтальмолога$Консультация невролога$Триглицериды$Общий анализ мочи$Общий анализ крови$Липопротеиды крови$АСТ крови$МРТ позвоночника$МРТ мягких тканей шеи$КТ головного мозга
H81.4,
H81.8,
H81.9,
H83.0,Консультация сурдолога$Консультация невролога$Аудиометрия$Рентгенография черепа$КТ височных костей$Вестибулометрия
H83.1,Консультация сурдолога$Консультация невролога$Аудиометрия$Рентгенография черепа$КТ височных костей$Вестибулометрия
H83.2,Консультация сурдолога$Консультация невролога$Аудиометрия$Рентгенография черепа$КТ височных костей$Вестибулометрия
H83.3,Консультация сурдолога$Консультация отоларинголога$Консультация онколога$Холестерин общий$Общий анализ крови$Коагулограмма$Аудиометрия$Электроэнцефалография (ЭЭГ)$Электрокохлеография$Отоакустическая эмиссия$Вызванные потенциалы (ВП)$Механический вибрационный массаж
H83.8,
H83.9,
H90.3,Консультация сурдолога$Консультация отоларинголога$Консультация нейрохирурга$Тимпанометрия$Общий анализ крови$Аудиометрия$Рентгенография позвоночника$МРТ позвоночника$МРТ головного мозга$Вестибулометрия$Талассотерапия
H90.4,Консультация сурдолога$Консультация отоларинголога$Консультация нейрохирурга$Тимпанометрия$Общий анализ крови$Аудиометрия$Рентгенография позвоночника$МРТ позвоночника$МРТ головного мозга$Вестибулометрия$Талассотерапия
H90.5,Консультация сурдолога$Консультация отоларинголога$Консультация нейрохирурга$Тимпанометрия$Общий анализ крови$Аудиометрия$Рентгенография позвоночника$МРТ позвоночника$МРТ головного мозга$Вестибулометрия$Талассотерапия
H91.0,
H91.1,Консультация сурдолога$Консультация отоларинголога$Консультация нейрохирурга$Тимпанометрия$Общий анализ крови$Аудиометрия$Рентгенография позвоночника$МРТ позвоночника$МРТ головного мозга$Вестибулометрия$Талассотерапия
H91.2,Консультация сурдолога$Консультация отоларинголога$Консультация нейрохирурга$Тимпанометрия$Общий анализ крови$Аудиометрия$Рентгенография позвоночника$МРТ позвоночника$МРТ головного мозга$Вестибулометрия$Талассотерапия
H91.8,Консультация сурдолога$Консультация отоларинголога$Консультация нейрохирурга$Тимпанометрия$Общий анализ крови$Аудиометрия$Рентгенография позвоночника$МРТ позвоночника$МРТ головного мозга$Вестибулометрия$Талассотерапия
H91.9,
H92.0,
H92.1,
H93.0,Консультация сурдолога$Консультация отоларинголога$Консультация врача ЛФК$Измерение АД$$Термометрия$$Солевая ингаляция$Лекарственная ингаляция$Климатотерапия$Гелиовоздействие$Измерение артериального давления на периферических артериях$Измерение роста$Измерение массы тела$Измерение частоты дыхания$Измерение частоты сердцебиения$Исследование пульса$Термометрия общая
H93.1,Консультация сурдолога$Консультация отоларинголога$Консультация онколога$Холестерин общий$Общий анализ крови$Коагулограмма$Аудиометрия$Электроэнцефалография (ЭЭГ)$Электрокохлеография$Отоакустическая эмиссия$Вызванные потенциалы (ВП)$Механический вибрационный массаж
H93.2,Консультация сурдолога$Консультация отоларинголога$Консультация онколога$Холестерин общий$Общий анализ крови$Коагулограмма$Аудиометрия$Электроэнцефалография (ЭЭГ)$Электрокохлеография$Отоакустическая эмиссия$Вызванные потенциалы (ВП)$Механический вибрационный массаж
H93.3,
H93.9,
H95.8,
I01.1,
I01.2,Консультация педиатра$Консультация кардиохирурга$Кардиолог$Тропонины$СОЭ$Посев мазка из зева на микрофлору$Лактатдегидрогеназа-1$ЛДГ крови$Креатинкиназа-МВ$Креатинкиназа крови$АСЛ-О$Электрокардиография (ЭКГ)$Рентгенография легких$Пульсоксиметрия$Перфузионная сцинтиграфия миокарда$МРТ сердца$Лечебная физкультура (ЛФК)
I05.0,
I05.1,Консультация хирурга$Подготовка к операции$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$Чреспищеводная эхокардиография$Рентгенография легких
I06.0,Консультация клинического фармаколога$Исследование сердечного выброса$Антропометрия с расчетом ИМТ$$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$Тест на беременность$Стресс эхокардиография$КТ аорты$Измерение АД$Антропометрические исследования
I07.0,Общий белок крови$Общий анализ крови$Креатинин крови$Билирубин общий$АЛТ крови$Пассивная ортостатическая проба (Tilt-test)$$Антропометрия с расчетом ИМТ$$Электрокардиография (ЭКГ)$УЗИ сердца$Рентгенография легких$Антропометрические исследования$Ортостатическая проба
I07.1,
I08.1,
I09.0,Консультация педиатра$Консультация кардиохирурга$Кардиолог$Тропонины$СОЭ$Посев мазка из зева на микрофлору$Лактатдегидрогеназа-1$ЛДГ крови$Креатинкиназа-МВ$Креатинкиназа крови$АСЛ-О$Электрокардиография (ЭКГ)$Рентгенография легких$Пульсоксиметрия$Перфузионная сцинтиграфия миокарда$МРТ сердца$Лечебная физкультура (ЛФК)
I09.1,
I09.9,
I11.0,Мозговой натрийуретический пептид (NT-proBNP)$Исследование сердечного выброса$Эхокардиография (ЭхоКГ)$Перфузионная сцинтиграфия миокарда$МРТ сердца$Контрастирование при МРТ$Контрастирование при КТ$КТ сердца$Ангиография$Гемофильтрация
I11.9,Мозговой натрийуретический пептид (NT-proBNP)$Исследование сердечного выброса$Эхокардиография (ЭхоКГ)$Перфузионная сцинтиграфия миокарда$МРТ сердца$Контрастирование при МРТ$Контрастирование при КТ$КТ сердца$Ангиография$Гемофильтрация
I12.0,Консультация уролога$$$$$Холестерин общий$Хлор крови$Фосфор крови$Фибриноген крови$СОЭ$Проба Реберга$Общий белок крови$Общий анализ мочи$Общий анализ крови$Натрий крови$Мочевина крови$Креатинин крови$Кальций крови$Калий крови$C реактивный белок крови$Измерение АД$$Электрокардиография (ЭКГ)$Фонокардиография плода$УЗИ почек$УЗИ поджелудочной железы$УЗИ печени$УЗИ мочевого пузыря$УЗИ желчного пузыря$Электрофорез лекарственный$Визуальное исследование при патологии почек и мочевыделительной системы$Измерение артериального давления на периферических артериях$Исследование пульса$Измерение роста$Измерение массы тела$Перкуссия при патологии почек и мочевыделительной системы$Пальпация при патологии почек и мочевыделительной системы$Сбор анамнеза и жалоб при патологии почек и мочевыделительной системы$Взятие крови из периферической вены$Взятие крови из пальца
I12.9,Консультация невролога$Консультация кардиолога$Консультация врача ЛФК$Общий анализ крови$Термометрия$$Измерение АД$$Электрокардиография (ЭКГ)$Оксигенотерапия$Электросон$Психотерапия$Лечебные души$Климатотерапия$Измерение частоты дыхания$Измерение массы тела$Исследование пульса$Измерение артериального давления на периферических артериях$Измерение роста$Термометрия общая$Измерение частоты сердцебиения
I13.0,Мозговой натрийуретический пептид (NT-proBNP)$Исследование сердечного выброса$Эхокардиография (ЭхоКГ)$Перфузионная сцинтиграфия миокарда$МРТ сердца$Контрастирование при МРТ$Контрастирование при КТ$КТ сердца$Ангиография$Гемофильтрация
I13.1,Консультация офтальмолога$$Консультация невролога$Трийодтиронин крови$Триглицериды$Тироксин$Тиреотропный гормон$Ренин в крови$Общий анализ мочи$Общий анализ крови$Мочевина крови$Креатинин крови$Антитела к тиреопероксидазе в анализе крови$Альдостерон-рениновое соотношение$АКТГ$Электрокардиография (ЭКГ)$Экскреторная урография$УЗИ сердца$УЗИ почек$Сцинтиграфия сосудов$СМАД$Рентгенография ребер$Рентгенография костей и суставов$Рентгенография кисти$КТ аорты$Велоэргометрия (ВЭМ)$Биопсия кожи$Ангиография$Визуальное исследование глаз$Исследование пульса$Определение окружности талии$Измерение массы тела$Измерение роста
I13.2,Мозговой натрийуретический пептид (NT-proBNP)$Исследование сердечного выброса$Эхокардиография (ЭхоКГ)$Перфузионная сцинтиграфия миокарда$МРТ сердца$Контрастирование при МРТ$Контрастирование при КТ$КТ сердца$Ангиография$Гемофильтрация
I13.9,Консультация офтальмолога$$Консультация невролога$Трийодтиронин крови$Триглицериды$Тироксин$Тиреотропный гормон$Ренин в крови$Общий анализ мочи$Общий анализ крови$Мочевина крови$Креатинин крови$Антитела к тиреопероксидазе в анализе крови$Альдостерон-рениновое соотношение$АКТГ$Электрокардиография (ЭКГ)$Экскреторная урография$УЗИ сердца$УЗИ почек$Сцинтиграфия сосудов$СМАД$Рентгенография ребер$Рентгенография костей и суставов$Рентгенография кисти$КТ аорты$Велоэргометрия (ВЭМ)$Биопсия кожи$Ангиография$Визуальное исследование глаз$Исследование пульса$Определение окружности талии$Измерение массы тела$Измерение роста
I15.0,Лабораторный диагност$Креатинин крови$Ангиотензинпревращающий фермент (АПФ)$УЗИ почек$Измерение АД$Гемодиализ
I15.1,Консультация невролога$Консультация кардиолога$Консультация врача ЛФК$Общий анализ крови$Термометрия$$Измерение АД$$Электрокардиография (ЭКГ)$Оксигенотерапия$Электросон$Психотерапия$Лечебные души$Климатотерапия$Измерение частоты дыхания$Измерение массы тела$Исследование пульса$Измерение артериального давления на периферических артериях$Измерение роста$Термометрия общая$Измерение частоты сердцебиения
I15.2,Консультация невролога$Консультация кардиолога$Консультация врача ЛФК$Общий анализ крови$Термометрия$$Измерение АД$$Электрокардиография (ЭКГ)$Оксигенотерапия$Электросон$Психотерапия$Лечебные души$Климатотерапия$Измерение частоты дыхания$Измерение массы тела$Исследование пульса$Измерение артериального давления на периферических артериях$Измерение роста$Термометрия общая$Измерение частоты сердцебиения
I15.8,
I15.9,
I20.0,Тропонины$Триглицериды$Проба Реберга$Общий анализ мочи$Общий анализ крови$Мозговой натрийуретический пептид (NT-proBNP)$Липопротеиды крови$Креатинкиназа крови$Креатинин крови$Глюкозо-толерантный тест$Глюкоза в крови$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$Ишемический тест$Измерение АД$Гемодиализ$Исследование мышц$Исследование пульса$Измерение массы тела$Измерение роста$Определение окружности талии
I20.1,Тропонины$Триглицериды$Проба Реберга$Общий анализ мочи$Общий анализ крови$Мозговой натрийуретический пептид (NT-proBNP)$Липопротеиды крови$Креатинкиназа крови$Креатинин крови$Глюкозо-толерантный тест$Глюкоза в крови$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$Ишемический тест$Измерение АД$Гемодиализ$Исследование мышц$Исследование пульса$Измерение массы тела$Измерение роста$Определение окружности талии
I20.8,Консультация кардиолога$Консультация врача ЛФК$Кардиолог$ЛДГ крови$Термометрия$$Измерение АД$$Электрокардиография (ЭКГ)$Оксигенотерапия$ЛФК при поражениях ЦНС$Климатотерапия$Ванны суховоздушные$Измерение артериального давления на периферических артериях$Исследование пульса$Измерение частоты сердцебиения$Термометрия общая$Измерение роста$Измерение массы тела$Измерение частоты дыхания
I20.9,Тропонины$Триглицериды$Проба Реберга$Общий анализ мочи$Общий анализ крови$Мозговой натрийуретический пептид (NT-proBNP)$Липопротеиды крови$Креатинкиназа крови$Креатинин крови$Глюкозо-толерантный тест$Глюкоза в крови$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$Ишемический тест$Измерение АД$Гемодиализ$Исследование мышц$Исследование пульса$Измерение массы тела$Измерение роста$Определение окружности талии
I21.0,Консультация эндокринолога$Консультация реабилитолога$Консультация психотерапевта$Консультация кардиохирурга$Консультация врача ЛФК$Консультация анестезиолога-реаниматолога$Кардиолог$Тропонины$Реакция Вассермана (RW)$Проба Реберга$Общий анализ крови$Креатинкиназа крови$Кислотно-основное состояние (КОС) крови$Исследования мочи$Исследование липидного обмена$Группа крови и резус-фактор$Глюкоза в крови$Гемоглобин$Газовый состав крови$Антитела к антигенам вируса гепатита C$Определение антигена (HbsAg) вируса гепатита B (Hepatitis B virus) в крови$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$Рентгенография органов грудной полости$Коронарошунтография$Велоэргометрия (ВЭМ)$Электроимпульсная терапия$Мониторирование жизненных функций$Дилатация/стентирование верхней брыжеечной артерии$Баллонная вазодилятация$Психотерапия$Психологическое консультирование$Обучение самоуходу
I21.1,Консультация эндокринолога$Консультация реабилитолога$Консультация психотерапевта$Консультация кардиохирурга$Консультация врача ЛФК$Консультация анестезиолога-реаниматолога$Кардиолог$Тропонины$Реакция Вассермана (RW)$Проба Реберга$Общий анализ крови$Креатинкиназа крови$Кислотно-основное состояние (КОС) крови$Исследования мочи$Исследование липидного обмена$Группа крови и резус-фактор$Глюкоза в крови$Гемоглобин$Газовый состав крови$Антитела к антигенам вируса гепатита C$Определение антигена (HbsAg) вируса гепатита B (Hepatitis B virus) в крови$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$Рентгенография органов грудной полости$Коронарошунтография$Велоэргометрия (ВЭМ)$Электроимпульсная терапия$Мониторирование жизненных функций$Дилатация/стентирование верхней брыжеечной артерии$Баллонная вазодилятация$Психотерапия$Психологическое консультирование$Обучение самоуходу
I21.2,Консультация эндокринолога$Консультация реабилитолога$Консультация психотерапевта$Консультация кардиохирурга$Консультация врача ЛФК$Консультация анестезиолога-реаниматолога$Кардиолог$Тропонины$Реакция Вассермана (RW)$Проба Реберга$Общий анализ крови$Креатинкиназа крови$Кислотно-основное состояние (КОС) крови$Исследования мочи$Исследование липидного обмена$Группа крови и резус-фактор$Глюкоза в крови$Гемоглобин$Газовый состав крови$Антитела к антигенам вируса гепатита C$Определение антигена (HbsAg) вируса гепатита B (Hepatitis B virus) в крови$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$Рентгенография органов грудной полости$Коронарошунтография$Велоэргометрия (ВЭМ)$Электроимпульсная терапия$Мониторирование жизненных функций$Дилатация/стентирование верхней брыжеечной артерии$Баллонная вазодилятация$Психотерапия$Психологическое консультирование$Обучение самоуходу
I21.3,Консультация эндокринолога$Консультация реабилитолога$Консультация психотерапевта$Консультация кардиохирурга$Консультация врача ЛФК$Консультация анестезиолога-реаниматолога$Кардиолог$Тропонины$Реакция Вассермана (RW)$Проба Реберга$Общий анализ крови$Креатинкиназа крови$Кислотно-основное состояние (КОС) крови$Исследования мочи$Исследование липидного обмена$Группа крови и резус-фактор$Глюкоза в крови$Гемоглобин$Газовый состав крови$Антитела к антигенам вируса гепатита C$Определение антигена (HbsAg) вируса гепатита B (Hepatitis B virus) в крови$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$Рентгенография органов грудной полости$Коронарошунтография$Велоэргометрия (ВЭМ)$Электроимпульсная терапия$Мониторирование жизненных функций$Дилатация/стентирование верхней брыжеечной артерии$Баллонная вазодилятация$Психотерапия$Психологическое консультирование$Обучение самоуходу
I21.4,Консультация эндокринолога$Консультация реабилитолога$Консультация психотерапевта$Консультация кардиохирурга$Консультация врача ЛФК$Консультация анестезиолога-реаниматолога$Кардиолог$Тропонины$Реакция Вассермана (RW)$Проба Реберга$Общий анализ крови$Креатинкиназа крови$Исследования мочи$Исследование липидного обмена$Группа крови и резус-фактор$Глюкоза в крови$Антитела к антигенам вируса гепатита C$Определение антигена (HbsAg) вируса гепатита B (Hepatitis B virus) в крови$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$Рентгенография органов грудной полости$Коронарошунтография$Велоэргометрия (ВЭМ)$Мониторирование жизненных функций$Дилатация/стентирование верхней брыжеечной артерии$Баллонная вазодилятация$Психотерапия$Психологическое консультирование$Обучение самоуходу
I21.9,Консультация эндокринолога$Консультация реабилитолога$Консультация психотерапевта$Консультация кардиохирурга$Консультация врача ЛФК$Консультация анестезиолога-реаниматолога$Кардиолог$Тропонины$Реакция Вассермана (RW)$Проба Реберга$Общий анализ крови$Креатинкиназа крови$Кислотно-основное состояние (КОС) крови$Исследования мочи$Исследование липидного обмена$Группа крови и резус-фактор$Глюкоза в крови$Гемоглобин$Газовый состав крови$Антитела к антигенам вируса гепатита C$Определение антигена (HbsAg) вируса гепатита B (Hepatitis B virus) в крови$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$Рентгенография органов грудной полости$Коронарошунтография$Велоэргометрия (ВЭМ)$Электроимпульсная терапия$Мониторирование жизненных функций$Дилатация/стентирование верхней брыжеечной артерии$Баллонная вазодилятация$Психотерапия$Психологическое консультирование$Обучение самоуходу
I22.9,Тропонины$Проба Реберга$Натрий крови$Магний крови$Креатинин крови$Калий крови$Глюкозо-толерантный тест$Глюкоза в крови$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$Перфузионная сцинтиграфия миокарда$МРТ сердца$КТ сердца$КТ аорты$Ишемический тест$Постановка функционального диагноза
I23.0,
I23.3,
I23.5,Консультация хирурга$Подготовка к операции$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$Чреспищеводная эхокардиография$Рентгенография легких
I23.6,
I23.8,
I24.0,Тропонины$Проба Реберга$Натрий крови$Магний крови$Креатинин крови$Калий крови$Глюкозо-толерантный тест$Глюкоза в крови$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$Перфузионная сцинтиграфия миокарда$МРТ сердца$КТ сердца$КТ аорты$Ишемический тест$Постановка функционального диагноза
I24.1,
I24.8,Тропонины$Проба Реберга$Натрий крови$Магний крови$Креатинин крови$Калий крови$Глюкозо-толерантный тест$Глюкоза в крови$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$Перфузионная сцинтиграфия миокарда$МРТ сердца$КТ сердца$КТ аорты$Ишемический тест$Постановка функционального диагноза
I24.9,Тропонины$Проба Реберга$Определение гематокрита$Общий анализ крови$Креатинин крови$Исследование липидного обмена$Глюкоза в крови$Гемоглобин$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$УЗИ сосудов$УЗИ артериальных сосудов$Тредмил-тест$Рентгенография легких$Перфузионная сцинтиграфия миокарда$МРТ сердца$КТ сердца$КТ легких$КТ аорты$Временная электрокардиостимуляция$Гемофильтрация$Измерение фракционного резерва коронарного кровотока
I25.0,Тропонины$Триглицериды$Проба Реберга$Общий анализ мочи$Общий анализ крови$Мозговой натрийуретический пептид (NT-proBNP)$Липопротеиды крови$Креатинкиназа крови$Креатинин крови$Глюкозо-толерантный тест$Глюкоза в крови$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$Ишемический тест$Измерение АД$Гемодиализ$Исследование мышц$Исследование пульса$Измерение массы тела$Измерение роста$Определение окружности талии
I25.1,Тропонины$Триглицериды$Проба Реберга$Общий анализ мочи$Общий анализ крови$Мозговой натрийуретический пептид (NT-proBNP)$Липопротеиды крови$Креатинкиназа крови$Креатинин крови$Глюкозо-толерантный тест$Глюкоза в крови$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$Ишемический тест$Измерение АД$Гемодиализ$Исследование мышц$Исследование пульса$Измерение массы тела$Измерение роста$Определение окружности талии
I25.2,Тропонины$Триглицериды$Проба Реберга$Общий анализ мочи$Общий анализ крови$Мозговой натрийуретический пептид (NT-proBNP)$Липопротеиды крови$Креатинкиназа крови$Креатинин крови$Глюкозо-толерантный тест$Глюкоза в крови$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$Ишемический тест$Измерение АД$Гемодиализ$Исследование мышц$Исследование пульса$Измерение массы тела$Измерение роста$Определение окружности талии
I25.3,Тропонины$Триглицериды$Проба Реберга$Общий анализ мочи$Общий анализ крови$Мозговой натрийуретический пептид (NT-proBNP)$Липопротеиды крови$Креатинкиназа крови$Креатинин крови$Глюкозо-толерантный тест$Глюкоза в крови$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$Ишемический тест$Измерение АД$Гемодиализ$Исследование мышц$Исследование пульса$Измерение массы тела$Измерение роста$Определение окружности талии
I25.4,Тропонины$Триглицериды$Проба Реберга$Общий анализ мочи$Общий анализ крови$Мозговой натрийуретический пептид (NT-proBNP)$Липопротеиды крови$Креатинкиназа крови$Креатинин крови$Глюкозо-толерантный тест$Глюкоза в крови$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$Ишемический тест$Измерение АД$Гемодиализ$Исследование мышц$Исследование пульса$Измерение массы тела$Измерение роста$Определение окружности талии
